title,filepath,neg_caption,neg_image
The small pot is behind the yellow bowl.,images/step449.camera_0.png,['The yellow bowl is behind the small pot.'],[6692]
The yellow bowl is to the left of the pink bowl.,images/step148.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[4012]
The yellow bowl is to the right of the pink bowl.,images/step353.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[4703]
The yellow bowl is to the right of the small pot.,images/step756.camera_0.png,['The small pot is to the right of the yellow bowl.'],[7649]
The small pot is behind the pink bowl.,images/step161.camera_0.png,['The pink bowl is behind the small pot.'],[386]
The small pot is to the left of the yellow bowl.,images/step748.camera_0.png,['The yellow bowl is to the left of the small pot.'],[4683]
The pink bowl is to the right of the yellow bowl.,images/step782.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4366]
The pink bowl is to the left of the small pot.,images/step66.camera_0.png,['The small pot is to the left of the pink bowl.'],[3584]
The pink bowl is to the right of the green cup.,images/step610.camera_0.png,['The green cup is to the right of the pink bowl.'],[7220]
The yellow bowl is to the right of the small pot.,images/step549.camera_0.png,['The small pot is to the right of the yellow bowl.'],[6515]
The yellow bowl is to the left of the pink bowl.,images/step439.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[1845]
The yellow bowl is to the right of the green cup.,images/step160.camera_0.png,['The green cup is to the right of the yellow bowl.'],[469]
The small pot is to the right of the green cup.,images/step469.camera_0.png,['The green cup is to the right of the small pot.'],[5140]
The small pot is to the left of the green cup.,images/step431.camera_0.png,['The green cup is to the left of the small pot.'],[6489]
The yellow bowl is in front of the green cup.,images/step306.camera_0.png,['The green cup is in front of the yellow bowl.'],[921]
The pink bowl is behind the green cup.,images/step163.camera_0.png,['The green cup is behind the pink bowl.'],[2927]
The yellow bowl is to the right of the small pot.,images/step149.camera_0.png,['The small pot is to the right of the yellow bowl.'],[7387]
The green cup is in front of the small pot.,images/step525.camera_0.png,['The small pot is in front of the green cup.'],[6483]
The small pot is to the right of the green cup.,images/step223.camera_0.png,['The green cup is to the right of the small pot.'],[5002]
The yellow bowl is to the right of the pink bowl.,images/step50.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[367]
The green cup is to the left of the yellow bowl.,images/step376.camera_0.png,['The yellow bowl is to the left of the green cup.'],[4807]
The yellow bowl is to the right of the pink bowl.,images/step536.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[6657]
The small pot is to the left of the pink bowl.,images/step581.camera_0.png,['The pink bowl is to the left of the small pot.'],[3476]
The green cup is behind the pink bowl.,images/step47.camera_0.png,['The pink bowl is behind the green cup.'],[902]
The small pot is to the right of the green cup.,images/step737.camera_0.png,['The green cup is to the right of the small pot.'],[519]
The green cup is to the right of the pink bowl.,images/step684.camera_0.png,['The pink bowl is to the right of the green cup.'],[4265]
The pink bowl is to the right of the small pot.,images/step245.camera_0.png,['The small pot is to the right of the pink bowl.'],[6860]
The yellow bowl is in front of the pink bowl.,images/step236.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[3890]
The small pot is to the left of the pink bowl.,images/step561.camera_0.png,['The pink bowl is to the left of the small pot.'],[6290]
The pink bowl is to the right of the green cup.,images/step718.camera_0.png,['The green cup is to the right of the pink bowl.'],[5933]
The green cup is to the right of the small pot.,images/step287.camera_0.png,['The small pot is to the right of the green cup.'],[7608]
The pink bowl is to the left of the small pot.,images/step304.camera_0.png,['The small pot is to the left of the pink bowl.'],[6991]
The small pot is to the right of the yellow bowl.,images/step801.camera_0.png,['The yellow bowl is to the right of the small pot.'],[6592]
The small pot is to the left of the pink bowl.,images/step493.camera_0.png,['The pink bowl is to the left of the small pot.'],[4731]
The pink bowl is to the right of the small pot.,images/step136.camera_0.png,['The small pot is to the right of the pink bowl.'],[5104]
The pink bowl is to the right of the small pot.,images/step699.camera_0.png,['The small pot is to the right of the pink bowl.'],[231]
The yellow bowl is to the left of the pink bowl.,images/step587.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[515]
The small pot is to the right of the yellow bowl.,images/step97.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4793]
The small pot is to the right of the yellow bowl.,images/step765.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4361]
The pink bowl is to the right of the yellow bowl.,images/step318.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4244]
The small pot is to the right of the green cup.,images/step570.camera_0.png,['The green cup is to the right of the small pot.'],[544]
The yellow bowl is to the left of the green cup.,images/step552.camera_0.png,['The green cup is to the left of the yellow bowl.'],[3652]
The pink bowl is to the left of the green cup.,images/step805.camera_0.png,['The green cup is to the left of the pink bowl.'],[6003]
The pink bowl is to the left of the yellow bowl.,images/step628.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[3503]
The yellow bowl is behind the small pot.,images/step129.camera_0.png,['The small pot is behind the yellow bowl.'],[6545]
The small pot is to the right of the pink bowl.,images/step144.camera_0.png,['The pink bowl is to the right of the small pot.'],[6832]
The small pot is behind the yellow bowl.,images/step285.camera_0.png,['The yellow bowl is behind the small pot.'],[6988]
The yellow bowl is to the right of the small pot.,images/step530.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1754]
The small pot is to the left of the pink bowl.,images/step267.camera_0.png,['The pink bowl is to the left of the small pot.'],[2949]
The green cup is to the right of the small pot.,images/step636.camera_0.png,['The small pot is to the right of the green cup.'],[3177]
The small pot is to the left of the green cup.,images/step205.camera_0.png,['The green cup is to the left of the small pot.'],[4741]
The yellow bowl is to the left of the pink bowl.,images/step26.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[73]
The small pot is to the left of the yellow bowl.,images/step621.camera_0.png,['The yellow bowl is to the left of the small pot.'],[1127]
The small pot is to the left of the yellow bowl.,images/step574.camera_0.png,['The yellow bowl is to the left of the small pot.'],[5597]
The yellow bowl is to the right of the small pot.,images/step529.camera_0.png,['The small pot is to the right of the yellow bowl.'],[1664]
The small pot is to the left of the pink bowl.,images/step700.camera_0.png,['The pink bowl is to the left of the small pot.'],[1580]
The yellow bowl is to the left of the small pot.,images/step181.camera_0.png,['The small pot is to the left of the yellow bowl.'],[6320]
The green cup is behind the pink bowl.,images/step461.camera_0.png,['The pink bowl is behind the green cup.'],[5911]
The pink bowl is to the right of the yellow bowl.,images/step219.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[233]
The small pot is to the right of the yellow bowl.,images/step411.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4981]
The yellow bowl is behind the small pot.,images/step291.camera_0.png,['The small pot is behind the yellow bowl.'],[4847]
The small pot is in front of the pink bowl.,images/step204.camera_0.png,['The pink bowl is in front of the small pot.'],[1788]
The small pot is to the left of the pink bowl.,images/step373.camera_0.png,['The pink bowl is to the left of the small pot.'],[2209]
The small pot is to the right of the green cup.,images/step472.camera_0.png,['The green cup is to the right of the small pot.'],[3213]
The small pot is to the left of the green cup.,images/step453.camera_0.png,['The green cup is to the left of the small pot.'],[5874]
The pink bowl is to the right of the green cup.,images/step584.camera_0.png,['The green cup is to the right of the pink bowl.'],[190]
The yellow bowl is to the right of the green cup.,images/step91.camera_0.png,['The green cup is to the right of the yellow bowl.'],[7088]
The yellow bowl is behind the pink bowl.,images/step143.camera_0.png,['The pink bowl is behind the yellow bowl.'],[6129]
The small pot is to the left of the yellow bowl.,images/step370.camera_0.png,['The yellow bowl is to the left of the small pot.'],[4308]
The green cup is to the left of the yellow bowl.,images/step634.camera_0.png,['The yellow bowl is to the left of the green cup.'],[897]
The pink bowl is to the right of the small pot.,images/step10.camera_0.png,['The small pot is to the right of the pink bowl.'],[1264]
The yellow bowl is behind the small pot.,images/step436.camera_0.png,['The small pot is behind the yellow bowl.'],[3829]
The green cup is to the left of the small pot.,images/step796.camera_0.png,['The small pot is to the left of the green cup.'],[3824]
The green cup is to the left of the pink bowl.,images/step117.camera_0.png,['The pink bowl is to the left of the green cup.'],[6942]
The yellow bowl is to the right of the pink bowl.,images/step468.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[2739]
The pink bowl is to the left of the yellow bowl.,images/step116.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[5067]
The yellow bowl is to the right of the small pot.,images/step399.camera_0.png,['The small pot is to the right of the yellow bowl.'],[3037]
The small pot is to the left of the yellow bowl.,images/step162.camera_0.png,['The yellow bowl is to the left of the small pot.'],[5081]
The small pot is behind the green cup.,images/step247.camera_0.png,['The green cup is behind the small pot.'],[6520]
The yellow bowl is to the right of the pink bowl.,images/step695.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[5154]
The yellow bowl is in front of the pink bowl.,images/step471.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[6376]
The pink bowl is to the right of the yellow bowl.,images/step112.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4343]
The yellow bowl is to the right of the pink bowl.,images/step138.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[67]
The yellow bowl is to the right of the green cup.,images/step134.camera_0.png,['The green cup is to the right of the yellow bowl.'],[3415]
The yellow bowl is to the left of the small pot.,images/step568.camera_0.png,['The small pot is to the left of the yellow bowl.'],[138]
The small pot is to the left of the pink bowl.,images/step348.camera_0.png,['The pink bowl is to the left of the small pot.'],[5781]
The green cup is to the left of the pink bowl.,images/step131.camera_0.png,['The pink bowl is to the left of the green cup.'],[6199]
The green cup is to the left of the small pot.,images/step84.camera_0.png,['The small pot is to the left of the green cup.'],[2177]
The green cup is behind the pink bowl.,images/step739.camera_0.png,['The pink bowl is behind the green cup.'],[7152]
The pink bowl is behind the yellow bowl.,images/step554.camera_0.png,['The yellow bowl is behind the pink bowl.'],[2753]
The yellow bowl is to the left of the green cup.,images/step227.camera_0.png,['The green cup is to the left of the yellow bowl.'],[1026]
The small pot is to the right of the green cup.,images/step417.camera_0.png,['The green cup is to the right of the small pot.'],[4321]
The yellow bowl is to the left of the pink bowl.,images/step67.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[2014]
The small pot is to the right of the yellow bowl.,images/step501.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4033]
The pink bowl is to the right of the yellow bowl.,images/step613.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[5513]
The small pot is to the left of the yellow bowl.,images/step293.camera_0.png,['The yellow bowl is to the left of the small pot.'],[164]
The green cup is to the left of the yellow bowl.,images/step162.camera_0.png,['The yellow bowl is to the left of the green cup.'],[978]
The green cup is to the right of the pink bowl.,images/step169.camera_0.png,['The pink bowl is to the right of the green cup.'],[1547]
The yellow bowl is to the right of the small pot.,images/step400.camera_0.png,['The small pot is to the right of the yellow bowl.'],[4860]
The yellow bowl is to the left of the pink bowl.,images/step381.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[3571]
The green cup is to the right of the yellow bowl.,images/step704.camera_0.png,['The yellow bowl is to the right of the green cup.'],[7414]
The pink bowl is to the right of the small pot.,images/step587.camera_0.png,['The small pot is to the right of the pink bowl.'],[3864]
The pink bowl is to the left of the yellow bowl.,images/step434.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[4930]
The small pot is to the left of the yellow bowl.,images/step557.camera_0.png,['The yellow bowl is to the left of the small pot.'],[7346]
The small pot is to the right of the green cup.,images/step302.camera_0.png,['The green cup is to the right of the small pot.'],[4594]
The small pot is to the right of the yellow bowl.,images/step249.camera_0.png,['The yellow bowl is to the right of the small pot.'],[5602]
The small pot is to the left of the pink bowl.,images/step337.camera_0.png,['The pink bowl is to the left of the small pot.'],[7580]
The green cup is to the left of the small pot.,images/step173.camera_0.png,['The small pot is to the left of the green cup.'],[6834]
The pink bowl is in front of the yellow bowl.,images/step254.camera_0.png,['The yellow bowl is in front of the pink bowl.'],[3380]
The pink bowl is to the right of the green cup.,images/step624.camera_0.png,['The green cup is to the right of the pink bowl.'],[209]
The pink bowl is to the left of the small pot.,images/step653.camera_0.png,['The small pot is to the left of the pink bowl.'],[3418]
The pink bowl is to the right of the small pot.,images/step656.camera_0.png,['The small pot is to the right of the pink bowl.'],[4115]
The yellow bowl is to the left of the green cup.,images/step73.camera_0.png,['The green cup is to the left of the yellow bowl.'],[6470]
The yellow bowl is to the left of the green cup.,images/step252.camera_0.png,['The green cup is to the left of the yellow bowl.'],[7662]
The pink bowl is to the right of the green cup.,images/step794.camera_0.png,['The green cup is to the right of the pink bowl.'],[546]
The small pot is to the right of the pink bowl.,images/step115.camera_0.png,['The pink bowl is to the right of the small pot.'],[2254]
The small pot is to the left of the yellow bowl.,images/step69.camera_0.png,['The yellow bowl is to the left of the small pot.'],[327]
The pink bowl is to the left of the yellow bowl.,images/step691.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[837]
The small pot is to the right of the yellow bowl.,images/step396.camera_0.png,['The yellow bowl is to the right of the small pot.'],[7035]
The small pot is to the right of the yellow bowl.,images/step323.camera_0.png,['The yellow bowl is to the right of the small pot.'],[5451]
The green cup is to the left of the small pot.,images/step70.camera_0.png,['The small pot is to the left of the green cup.'],[3876]
The yellow bowl is to the left of the green cup.,images/step113.camera_0.png,['The green cup is to the left of the yellow bowl.'],[403]
The pink bowl is behind the yellow bowl.,images/step651.camera_0.png,['The yellow bowl is behind the pink bowl.'],[6500]
The pink bowl is to the left of the yellow bowl.,images/step762.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[1560]
The small pot is to the right of the pink bowl.,images/step479.camera_0.png,['The pink bowl is to the right of the small pot.'],[4685]
The pink bowl is to the right of the yellow bowl.,images/step779.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[1143]
The yellow bowl is in front of the green cup.,images/step339.camera_0.png,['The green cup is in front of the yellow bowl.'],[370]
The small pot is to the right of the yellow bowl.,images/step228.camera_0.png,['The yellow bowl is to the right of the small pot.'],[543]
The small pot is to the right of the pink bowl.,images/step123.camera_0.png,['The pink bowl is to the right of the small pot.'],[1489]
The yellow bowl is in front of the pink bowl.,images/step584.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[6093]
The pink bowl is to the right of the green cup.,images/step352.camera_0.png,['The green cup is to the right of the pink bowl.'],[1661]
The yellow bowl is to the right of the pink bowl.,images/step605.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[7513]
The yellow bowl is in front of the pink bowl.,images/step697.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[5145]
The small pot is to the right of the green cup.,images/step190.camera_0.png,['The green cup is to the right of the small pot.'],[1890]
The small pot is to the right of the green cup.,images/step760.camera_0.png,['The green cup is to the right of the small pot.'],[7081]
The green cup is in front of the pink bowl.,images/step542.camera_0.png,['The pink bowl is in front of the green cup.'],[5921]
The small pot is to the left of the yellow bowl.,images/step730.camera_0.png,['The yellow bowl is to the left of the small pot.'],[796]
The small pot is to the right of the yellow bowl.,images/step278.camera_0.png,['The yellow bowl is to the right of the small pot.'],[3565]
The green cup is behind the pink bowl.,images/step283.camera_0.png,['The pink bowl is behind the green cup.'],[6228]
The green cup is to the left of the small pot.,images/step174.camera_0.png,['The small pot is to the left of the green cup.'],[4301]
The small pot is to the left of the yellow bowl.,images/step30.camera_0.png,['The yellow bowl is to the left of the small pot.'],[7316]
The pink bowl is to the right of the green cup.,images/step446.camera_0.png,['The green cup is to the right of the pink bowl.'],[2222]
The pink bowl is to the right of the small pot.,images/step568.camera_0.png,['The small pot is to the right of the pink bowl.'],[3537]
The pink bowl is to the left of the green cup.,images/step242.camera_0.png,['The green cup is to the left of the pink bowl.'],[6642]
The small pot is to the left of the green cup.,images/step124.camera_0.png,['The green cup is to the left of the small pot.'],[3830]
The green cup is to the left of the yellow bowl.,images/step379.camera_0.png,['The yellow bowl is to the left of the green cup.'],[3769]
The small pot is to the right of the green cup.,images/step243.camera_0.png,['The green cup is to the right of the small pot.'],[5856]
The green cup is to the left of the yellow bowl.,images/step683.camera_0.png,['The yellow bowl is to the left of the green cup.'],[775]
The yellow bowl is to the right of the pink bowl.,images/step805.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[6920]
The small pot is to the right of the yellow bowl.,images/step140.camera_0.png,['The yellow bowl is to the right of the small pot.'],[4959]
The yellow bowl is to the right of the green cup.,images/step715.camera_0.png,['The green cup is to the right of the yellow bowl.'],[6812]
The pink bowl is to the left of the green cup.,images/step332.camera_0.png,['The green cup is to the left of the pink bowl.'],[2198]
The green cup is to the right of the pink bowl.,images/step81.camera_0.png,['The pink bowl is to the right of the green cup.'],[492]
The pink bowl is to the left of the yellow bowl.,images/step400.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[2160]
The green cup is to the right of the pink bowl.,images/step181.camera_0.png,['The pink bowl is to the right of the green cup.'],[4865]
The green cup is to the right of the pink bowl.,images/step63.camera_0.png,['The pink bowl is to the right of the green cup.'],[5054]
The yellow bowl is to the right of the small pot.,images/step489.camera_0.png,['The small pot is to the right of the yellow bowl.'],[3461]
The green cup is to the right of the small pot.,images/step400.camera_0.png,['The small pot is to the right of the green cup.'],[6792]
The green cup is to the left of the small pot.,images/step620.camera_0.png,['The small pot is to the left of the green cup.'],[2135]
The green cup is to the left of the small pot.,images/step692.camera_0.png,['The small pot is to the left of the green cup.'],[6239]
The green cup is behind the small pot.,images/step490.camera_0.png,['The small pot is behind the green cup.'],[6353]
The small pot is behind the pink bowl.,images/step487.camera_0.png,['The pink bowl is behind the small pot.'],[5073]
The green cup is to the right of the small pot.,images/step103.camera_0.png,['The small pot is to the right of the green cup.'],[545]
The yellow bowl is in front of the small pot.,images/step198.camera_0.png,['The small pot is in front of the yellow bowl.'],[6589]
The green cup is to the right of the yellow bowl.,images/step465.camera_0.png,['The yellow bowl is to the right of the green cup.'],[6233]
The pink bowl is to the right of the small pot.,images/step219.camera_0.png,['The small pot is to the right of the pink bowl.'],[2746]
The yellow bowl is to the right of the small pot.,images/step160.camera_0.png,['The small pot is to the right of the yellow bowl.'],[6811]
The yellow bowl is to the right of the green cup.,images/step353.camera_0.png,['The green cup is to the right of the yellow bowl.'],[1388]
The yellow bowl is to the left of the pink bowl.,images/step731.camera_0.png,['The pink bowl is to the left of the yellow bowl.'],[6396]
The yellow bowl is to the right of the green cup.,images/step410.camera_0.png,['The green cup is to the right of the yellow bowl.'],[1582]
The green cup is to the right of the pink bowl.,images/step454.camera_0.png,['The pink bowl is to the right of the green cup.'],[3646]
The yellow bowl is to the right of the green cup.,images/step221.camera_0.png,['The green cup is to the right of the yellow bowl.'],[6507]
The yellow bowl is to the left of the green cup.,images/step514.camera_0.png,['The green cup is to the left of the yellow bowl.'],[7070]
The green cup is to the left of the yellow bowl.,images/step41.camera_0.png,['The yellow bowl is to the left of the green cup.'],[6864]
The pink bowl is to the right of the yellow bowl.,images/step93.camera_0.png,['The yellow bowl is to the right of the pink bowl.'],[4513]
The yellow bowl is in front of the green cup.,images/step269.camera_0.png,['The green cup is in front of the yellow bowl.'],[6666]
The small pot is to the right of the yellow bowl.,images/step599.camera_0.png,['The yellow bowl is to the right of the small pot.'],[5111]
The green cup is to the right of the pink bowl.,images/step66.camera_0.png,['The pink bowl is to the right of the green cup.'],[7077]
The pink bowl is to the left of the green cup.,images/step761.camera_0.png,['The green cup is to the left of the pink bowl.'],[684]
The small pot is to the right of the green cup.,images/step26.camera_0.png,['The green cup is to the right of the small pot.'],[6686]
The yellow bowl is to the right of the green cup.,images/step154.camera_0.png,['The green cup is to the right of the yellow bowl.'],[6547]
The small pot is to the right of the yellow bowl.,images/step84.camera_0.png,['The yellow bowl is to the right of the small pot.'],[215]
The pink bowl is to the right of the small pot.,images/step463.camera_0.png,['The small pot is to the right of the pink bowl.'],[544]
The green cup is to the right of the yellow bowl.,images/step755.camera_0.png,['The yellow bowl is to the right of the green cup.'],[201]
The pink bowl is to the left of the green cup.,images/step388.camera_0.png,['The green cup is to the left of the pink bowl.'],[1745]
The pink bowl is in front of the yellow bowl.,images/step770.camera_0.png,['The yellow bowl is in front of the pink bowl.'],[7176]
The yellow bowl is to the left of the green cup.,images/step89.camera_0.png,['The green cup is to the left of the yellow bowl.'],[5956]
The yellow bowl is in front of the pink bowl.,images/step680.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[3717]
The green cup is to the right of the pink bowl.,images/step183.camera_0.png,['The pink bowl is to the right of the green cup.'],[52]
The pink bowl is to the left of the small pot.,images/step690.camera_0.png,['The small pot is to the left of the pink bowl.'],[367]
The small pot is to the left of the green cup.,images/step43.camera_0.png,['The green cup is to the left of the small pot.'],[6285]
The yellow bowl is in front of the pink bowl.,images/step617.camera_0.png,['The pink bowl is in front of the yellow bowl.'],[1440]
The small pot is to the left of the yellow bowl.,images/step741.camera_0.png,['The yellow bowl is to the left of the small pot.'],[3933]
The pink bowl is to the left of the small pot.,images/step806.camera_0.png,['The small pot is to the left of the pink bowl.'],[3451]
The green cup is to the right of the yellow bowl.,images/step215.camera_0.png,['The yellow bowl is to the right of the green cup.'],[4068]
The yellow bowl is behind the pink bowl.,images/step110.camera_0.png,['The pink bowl is behind the yellow bowl.'],[330]
The pink bowl is to the right of the green cup.,images/step6.camera_0.png,['The green cup is to the right of the pink bowl.'],[4488]
The green cup is to the right of the pink bowl.,images/step254.camera_0.png,['The pink bowl is to the right of the green cup.'],[5521]
The yellow bowl is in front of the green cup.,images/step742.camera_0.png,['The green cup is in front of the yellow bowl.'],[4502]
The small pot is to the left of the green cup.,images/step747.camera_0.png,['The green cup is to the left of the small pot.'],[1530]
The pink bowl is to the left of the green cup.,images/step541.camera_0.png,['The green cup is to the left of the pink bowl.'],[4303]
The small pot is to the right of the pink bowl.,images/step349.camera_0.png,['The pink bowl is to the right of the small pot.'],[7574]
The green cup is to the left of the small pot.,images/step477.camera_0.png,['The small pot is to the left of the green cup.'],[7165]
The pink bowl is in front of the green cup.,images/step235.camera_0.png,['The green cup is in front of the pink bowl.'],[351]
The yellow bowl is to the right of the small pot.,images/step456.camera_0.png,['The small pot is to the right of the yellow bowl.'],[4918]
The green cup is to the left of the yellow bowl.,images/step529.camera_0.png,['The yellow bowl is to the left of the green cup.'],[5634]
The pink bowl is to the left of the yellow bowl.,images/step761.camera_0.png,['The yellow bowl is to the left of the pink bowl.'],[4987]
The pink bowl is to the right of the green cup.,images/step451.camera_0.png,['The green cup is to the right of the pink bowl.'],[543]
The small pot is behind the pink bowl.,images/step334.camera_0.png,['The pink bowl is behind the small pot.'],[313]
The small pot is to the left of the green cup.,images/step452.camera_0.png,['The green cup is to the left of the small pot.'],[3885]
The pink bowl is to the left of the small pot.,images/step160.camera_0.png,['The small pot is to the left of the pink bowl.'],[227]
The yellow bowl is to the right of the green cup.,images/step576.camera_0.png,['The green cup is to the right of the yellow bowl.'],[6516]
The yellow bowl is to the right of the small pot.,images/step347.camera_0.png,['The small pot is to the right of the yellow bowl.'],[5454]
The small pot is to the left of the pink bowl.,images/step33.camera_0.png,['The pink bowl is to the left of the small pot.'],[1647]
The small pot is to the right of the green cup.,images/step412.camera_0.png,['The green cup is to the right of the small pot.'],[4658]
The green cup is to the right of the pink bowl.,images/step323.camera_0.png,['The pink bowl is to the right of the green cup.'],[4312]
The yellow bowl is to the left of the green cup.,images/step102.camera_0.png,['The green cup is to the left of the yellow bowl.'],[4618]
The yellow bowl is to the right of the pink bowl.,images/step295.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[2017]
The green cup is to the left of the small pot.,images/step56.camera_0.png,['The small pot is to the left of the green cup.'],[1568]
The green cup is behind the pink bowl.,images/step401.camera_0.png,['The pink bowl is behind the green cup.'],[6201]
The pink bowl is to the right of the small pot.,images/step124.camera_0.png,['The small pot is to the right of the pink bowl.'],[1943]
The small pot is to the right of the pink bowl.,images/step358.camera_0.png,['The pink bowl is to the right of the small pot.'],[7249]
The yellow bowl is to the right of the green cup.,images/step363.camera_0.png,['The green cup is to the right of the yellow bowl.'],[2101]
The small pot is to the right of the pink bowl.,images/step802.camera_0.png,['The pink bowl is to the right of the small pot.'],[5882]
The small pot is to the right of the yellow bowl.,images/step339.camera_0.png,['The yellow bowl is to the right of the small pot.'],[696]
The green cup is to the right of the pink bowl.,images/step315.camera_0.png,['The pink bowl is to the right of the green cup.'],[4414]
The green cup is to the right of the pink bowl.,images/step371.camera_0.png,['The pink bowl is to the right of the green cup.'],[971]
The small pot is to the right of the green cup.,images/step661.camera_0.png,['The green cup is to the right of the small pot.'],[3329]
The small pot is to the right of the pink bowl.,images/step370.camera_0.png,['The pink bowl is to the right of the small pot.'],[5328]
The yellow bowl is to the right of the pink bowl.,images/step133.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[7409]
The small pot is behind the yellow bowl.,images/step266.camera_0.png,['The yellow bowl is behind the small pot.'],[2891]
The yellow bowl is to the right of the pink bowl.,images/step739.camera_0.png,['The pink bowl is to the right of the yellow bowl.'],[1505]
